model,is_poison,epoch,lr,acc
Target_ResNet_18,True,1,2.334608856201172,0%
Target_ResNet_18,False,1,2.3035814697265624,10.0
Target_ResNet_18,True,2,2.344629470825195,0%
Target_ResNet_18,False,2,2.30364453125,10.0
Target_ResNet_18,True,3,2.3584217681884767,0%
Target_ResNet_18,False,3,2.303840234375,10.0
Target_ResNet_18,True,4,2.366160026550293,0%
Target_ResNet_18,False,4,2.3036697509765625,10.0
Target_ResNet_18,True,5,2.363668159484863,0%
Target_ResNet_18,False,5,2.30368974609375,10.0
Target_ResNet_18,True,6,2.3701525650024413,0%
Target_ResNet_18,False,6,2.3040481201171876,10.0
Target_ResNet_18,True,7,2.3622878494262696,0%
Target_ResNet_18,False,7,2.3041637939453126,10.0
Target_ResNet_18,True,8,2.363026062011719,0%
Target_ResNet_18,False,8,2.304049658203125,10.0
Target_ResNet_18,True,9,2.3591753463745118,0%
Target_ResNet_18,False,9,2.3041867431640624,9.94
Target_ResNet_18,True,10,2.3673460083007813,0%
Target_ResNet_18,False,10,2.3045865234375,10.0
Target_ResNet_18,True,11,2.3452286529541015,0%
Target_ResNet_18,False,11,2.3046365966796873,10.0
Target_ResNet_18,True,12,2.352762748718262,0%
Target_ResNet_18,False,12,2.306352490234375,10.0
Target_ResNet_18,True,13,2.3433761291503905,0%
Target_ResNet_18,False,13,2.3078922607421877,10.0
Target_ResNet_18,True,14,2.3364293975830077,0%
Target_ResNet_18,False,14,2.3076363037109373,10.0
Target_ResNet_18,True,15,2.3045505676269533,0%
Target_ResNet_18,False,15,2.3052138916015625,10.0
Target_ResNet_18,True,16,2.2841044692993164,0%
Target_ResNet_18,False,16,2.3039020751953125,10.0
Target_ResNet_18,True,17,2.3027228469848633,0%
Target_ResNet_18,False,17,2.3039900146484373,10.0
Target_ResNet_18,True,18,2.281057647705078,0%
Target_ResNet_18,False,18,2.3017664794921875,10.0
Target_ResNet_18,True,19,2.3254582290649415,0%
Target_ResNet_18,False,19,2.3015427734375,10.0
Target_ResNet_18,True,20,2.3136887130737303,0%
Target_ResNet_18,False,20,2.2992233154296877,10.459999999999999
Target_ResNet_18,True,21,2.2980672836303713,0%
Target_ResNet_18,False,21,2.29342392578125,12.7
Target_ResNet_18,True,22,2.360348991394043,0%
Target_ResNet_18,False,22,2.2891056884765626,10.37
Target_ResNet_18,True,23,2.368005584716797,0%
Target_ResNet_18,False,23,2.2905305908203126,13.77
Target_ResNet_18,True,24,2.4078410873413088,0%
Target_ResNet_18,False,24,2.285423876953125,12.370000000000001
Target_ResNet_18,True,25,2.4195413818359377,0%
Target_ResNet_18,False,25,2.2810392822265624,13.76
Target_ResNet_18,True,26,2.3896201248168945,0%
Target_ResNet_18,False,26,2.270745703125,13.23
Target_ResNet_18,True,27,2.296499610900879,0%
Target_ResNet_18,False,27,2.2544714599609375,12.11
Target_ResNet_18,True,28,2.23170760345459,0%
Target_ResNet_18,False,28,2.2443666259765624,12.75
Target_ResNet_18,True,29,2.226255844116211,0%
Target_ResNet_18,False,29,2.2350340576171877,13.819999999999999
Target_ResNet_18,True,30,2.213386085510254,0%
Target_ResNet_18,False,30,2.2124002197265624,13.950000000000001
Target_ResNet_18,True,31,2.212971405029297,0%
Target_ResNet_18,False,31,2.209498486328125,14.069999999999999
Target_ResNet_18,True,32,2.2375969543457033,0%
Target_ResNet_18,False,32,2.2063603515625,14.879999999999999
Target_ResNet_18,True,33,2.236036087036133,0%
Target_ResNet_18,False,33,2.195672607421875,15.78
Target_ResNet_18,True,34,2.1813004302978514,0%
Target_ResNet_18,False,34,2.175848681640625,17.119999999999997
Target_ResNet_18,True,35,2.135329330444336,0%
Target_ResNet_18,False,35,2.1469259033203123,18.240000000000002
Target_ResNet_18,True,36,2.1049970016479493,0%
Target_ResNet_18,False,36,2.13255576171875,18.81
Target_ResNet_18,True,37,2.10779109954834,0%
Target_ResNet_18,False,37,2.114675732421875,19.650000000000002
Target_ResNet_18,True,38,2.1024450912475587,0%
Target_ResNet_18,False,38,2.106441943359375,19.759999999999998
Target_ResNet_18,True,39,2.0825181579589844,0%
Target_ResNet_18,False,39,2.0890611572265625,20.41
Target_ResNet_18,True,40,2.109324447631836,0%
